cas;chem;use;sum;mol;state;vap
78-83-1;iso-Butanol;The major use of isobutanol is in the manufacture of isobutyl;C4H10O;74.12;Colourless liquid.;0
75-21-8;Ethylene oxide;Intermediate in the production of various chemicals:;C2H4O;44.06;Colourless solution or gas.;1095
7664-41-7;Ammonia;Chemical industry, fertilizer;H3N;17.04;Colourless gas, liquified by compression.;0
92-24-0;Benz(b)anthracene;0;C18H12;0;0;0
57-09-0;Hexadecyltrimethylammoniumbromide;"Surface active agent; germicide.";C19H42N.Br ;364.46;White powder.;0
112-02-7;Hexadecyltrimethylammoniumchloride;Surface active agent.;C19H42N.Cl ;0;0;0
57-74-9;Chlordane;Insecticide, fungicide.;C10H6Cl8;409.76;Colourless to amber. ;0
18540-29-9;Chromium(VI);0;Cr;52;0;0
7440-48-4;Cobalt;0;Co;58.93;0;0
7440-50-8;Copper;0;Cu Cu;63.54;0;0
57-12-5;Cyanide;0;0;26.02;0;0
1929-73-3;2,4-D butoxyethanol ester;0;0;Amber liquid.;Amber liquid.;0
123-91-1;1,4-Dioxane;"Solvent for cellulosics and wide range of organic products; ";C4H8O2;88.12;0;30
7440-57-5;Gold ion;0;Au;196.97;0;0
302-01-2;Hydrazine;In industry (strong reducing and antioxidant property).;H4N2;32.06;Liquid.;16
7439-92-1;Lead;"Accumulator manufacturing; antiknock combounds for gasoline;";Pb;207.19;0;0
7546-30-7;Mercuric(I) chloride;0;ClHg;236.04;0;0
7487-94-7;Mercuric(II) chloride;Manufacture of calomel and other mercury compounds,;HgCl2;271.49;White crystals or powder, odorless.;0
0;0;0;0;0;0;0
16752-77-5;Methomyl;Insecticide;0;162.23;0;0
7440-02-0;Nickel;0;Ni;58.71;0;0
58-89-9;Lindane;Insecticide manufacturing, medicinal manufacturing (scabicide).;C6H6Cl6;290.82;0;0
1303-28-2;Arsenic pentoxide;Arsenates, insecticides, dyeing and printing, weed killer,;As2O5;229.84;White amorphous solid, deliquescent.;0
1327-53-3;Arsenic trioxide;Pigments, ceramic enamels, aniline colors, decolorizing agent in;As2O3;197.84;White powder.;0
1912-24-9;Atrazine;Active ingredient in herbicides. ;C8H14ClN5;215.72;Colourless crystals.;0.0000003 
2642-71-9;Azinphos-ethyl;Nonsystemic insecticide and acaricide.;C12H16N3O3PS2;345.4;Colourless crystals.;0.0000002 
86-50-0;Azinphos-methyl;"Active ingredient in insecticides; acaricide; cholinesterase";C10H12N3O3PS2;317.34;Brown waxy solid.;0
17804-35-2;Benomyl;Active ingredient in fungicides. ;0;290.36;0;0
100-52-7;Benzaldehyde;0;C7H6O;106.13;0;1
56-55-3;Benz(a)anthracene;Occurs in coal tar, gasoline, and diesel engine exhaust,;C18H12;228.3;Colourless leaflets with yellow-green fluorescence.;0.0000001 
71-43-2;Benzene;Manufacturing styrene, phenol, detergents, organic chemicals, ;C6H6;78.12;Colourless liquid.;76
50-32-8;Benzo(a)pyrene;0;C20H12;252.3;Pale yellow plates or long needles. ;0.0000001 
100-44-7;Benzyl chloride;Dyes, intermediate.;C7H7Cl;126.59;0;1
92-52-4;Biphenyl;Fungicide, organic synthesis, heat-transfer agent, plant;C12H10;154.22;White scales.;0
7647-15-6;Sodium bromide;0;NaBr;79.9;0;0
13863-41-7;bromochloride;0;0;115.36;0;0
111-46-6;Diethylene glycol;0;C4H10O3;106.14;0;0
1689-84-5;bromoxynil;herbicide;C7H3Br2NO;276.93;0;0
55335-06-3;Triclopyr;0;C7H4Cl3NO3;0;0;0
85-68-7;Butyl benzyl phthalate;To plasticize or flexibilize synthetic resins, chiefly;C19H20O4;312.39;Clear oily liquid.;0.0000086 
10325-94-7;Cadmium nitrate;"Colouring glass and porcelain; laboratory reagent; cadmium";CdN2O6 * Cd(NO3)2;236.42;"Prismatic white needles; hygroscopic.";0
133-06-2;Captan;Protectant-eradicant fungicide.;C9H8Cl3NO2S;300.59;White solid.;0
63-25-2;Carbaryl;Insecticide, pesticide.;C12H11NO2;201.24;White crystalline solid.;0.005 
10605-21-7;Carbendazim;fungicide;C9H9N3O2;191.21;0;0
1563-66-2;Carbofuran;-Systemic insecticide widely used to control corn rootworms.;0;221.3;White crystalline solid.;0.00002 
75-15-0;Carbondisulfide;Manufacturing rayon, cellophane, carbon tetrachloride, rubber;CS2;76.14;Colourless liquid.;200
56-23-5;Carbontetrachloride;"Fire extinguisher manufacturing; dry cleaning operations; ";CCl4 ;153.81;Colourless liquid.;56
786-19-6;Carbophenothion;Insecticide, acaricide.;C11H16ClO2PS3;342.87;Off-white to amber liquid.;0.0000003 
5234-68-4;Carboxin;Active ingredient in fungicides.;C12H13NO2S;235.32;0;0
120-80-9;Catechol;Preparation of dyes, pharmaceuticals, production of;C6H6O2;110.12;Colourless leaflets.;0
470-90-6;Chlorfenvinphos;Insecticide.;C12H14Cl3O4P;359.58;Amber coloured liquid.;0.0000002 
7782-50-5;Chlorine;bleaching, desinfection;Cl2;70.9;0;0
999-81-5;Chlormequat;0;0;0;0;0
106-47-8;4-chloroaniline;"Dye intermediate; pharmaceuticals; agricultural chemicals.";C6H6ClN ;127.58;Rhombic prisms.;0.015 
108-90-7;Chlorobenzene;"Intermediate in dyestuffs manufacturing; manufacturing aniline;";C6H5Cl C6H5Cl;112.56;Colourless liquid.;8.8 
67-66-3;Chloroform;Manufacturing fluorocarbon refrigerants and propellants and;CHCl3;119.37;Colourless liquid.;160
90-13-1;1-chloronaphthalene;0;C10H7Cl;162.62;0;0
95-57-8;2-chlorophenol;Organic synthesis. ;C6H5ClO;128.56;Colourless liquid.;40
108-43-0;3-chlorophenol;0;C6H5ClO;128.56;Needles;5
106-48-9;4-chlorophenol;0;C6H5ClO C6H5ClO;128.56;0;0.1 
106-43-4;4-chlorotoluene;solvent and intermediate for organic chemicals and dyes;C7H7Cl;126.59;0;0
2921-88-2;O,O-Diethyl O-(3,5,6-trichloro-2-pyridyl) phosphorothioate;Active ingredient in insecticides.;C9H11Cl3NO3PS;350.59;Amber solid cake with amber oil.;0.0000187 
1333-82-0;Chromium(VI) oxide;0;CrO3;100;0;0
7700-17-6;Ciodrin;0;C14H19O6P;314.3;0;0
3251-23-8;Copper nitrate;"Textile dyeing; chemicals production; pyrotechnics;";Cu.2HNO3;187.56;Large blue-green deliquescent orthorhombic crystal. ;0
7758-98-7;Copper sulfate;Fungicide.;CuSO4 Cu.H2O4S (EINECS form);159.6;0;0
108-39-4;m-cresol;0;C7H8O C7H8O;108.15;yellowish liquid;0.04 
95-48-7;o-cresol;"Disinfectant; food antioxidant, perfume manufacturing; dye";C7H8O;108.15;Clear to yellow solid. ;0.24 
106-44-5;p-cresol;"Intermediate; disinfectant.";C7H8O;108.15;Yellowish liquid;0.04 
21725-46-2;Cyanazine;Herbicide.;C9H13ClN6 ;240.73;0;0
108-91-8;Cyclohexyl amine;0;C6H13N;99.2;0;0
13121-70-5;Tricyclohexyltin hydroxide;acaricide;0;385.21;0;0
52315-07-8;Cypermethrin;Active ingredient in insecticides.;C22H19Cl2NO3;416.32;0;0.0000001 
127-20-8;2,2-Dichloropropionic acid, sodium salt;herbicide;C3H4Cl2O2.Na;164.95;0;0
94-82-6;2,4-DB;herbicide;C10H10Cl2O3;249.1;0;0
94-80-4;2,4-D butyl ester;0;C12H14Cl2O3;277.16;0;0
25168-26-7;2,4-D isooctyl ester;0;C16H22Cl2O3;333.28;dark liquid;0
72-54-8;DDD;Nonsystemic contact and stomach insecticide. ;C14H10Cl4;320.1;0;0
50-29-3;DDT;Insecticide, nematocide. ;C14H9Cl5;354.48;0;0.0000002 
52820-00-5;Decamethrin;Active ingredient in insecticides.;C22H19Br2NO3;505.24;0;0.0000001 
112-30-1;1-Decanol;0;C10H22O C10H22O;158.32;0;1
1740-19-8;Dehydroabietic acid;basis for thermoplastic resins;0;314.51;0;0
17040-19-6;demeton-S-methylsulfone;insecticide, acaricide;0;262.3;0;0
333-41-5;Diazinon;Active ingredient in insecticides.;C12H21N2O3PS ;304.38;A colourless oil (decomposes above 120 øC);1.29 
111-92-2;Dibutylamine;0;C8H19N;129.28;0;0
84-74-2;Dibutyl phthalate;"Plasticizer manufacturing; plastics manufacturing; recycling";C16H22O4;278.38;Colourless oily liquid will sink and associate with sediments.;0.1 
1194-65-6;Dichlobenil;Active ingredient in herbicides.;C7H3Cl2N;172.01;0;0.0005 
554-00-7;2,4-Dichloroaniline;0;C6H5Cl2N;162.02;0;0
95-50-1;1,2-dichlorobenzene;"Manufacture of 3,4-dichloroaniline; solvent; dye";C6H4Cl2;147;Colourless liquid.;1
541-73-1;1,3-Dichlorobenzene;Byproduct. ;C6H4Cl2;147;Colourless liquid, denser than and insoluble in water.;1
106-46-7;1,4-dichlorobenzene;Manufacturing repellents, air deodorizers, dyes and;C6H4Cl2;147;Colourless or white crystals only slightly soluble in water.;0.6 
2050-68-2;4,4'-dichlorobiphenyl;0;C12H8Cl2;223.1;0;0
107-06-2;1,2-dichloroethane;"Manufacturing of vinylchloride; manufacturing of";C2H4Cl2;98.96;Colourless liquid.;61
75-35-4;1,1-dichloroethylene;"Adhesives; component of synthetic fibres; solvent";C2H2Cl2;96.94;Colourless liquid.;500
1886-81-3;Dodecylbenzenesulfonate;0;0;0;0;0
120-83-2;2,4-Dichlorophenol;organic synthesis;C6H4Cl2O;163;0;0
542-75-6;1,3-Dichloropropene;0;C3H4Cl2;110.97;clear light straw coloured liquid;43
62-73-7;Dichlorvos;Active ingredient in insecticides.;C4H7Cl2O4P;220.98;colourless to amber liquid;0.012 
60-57-1;Dieldrin;"Insecticide in agriculture and forestry; handling of textiles; ";C12H8Cl6O;380.9;0;0.0000002 
111-42-2;Diethanolamine;"Liquid detergents for emulsion points, cutting oils, shampoos;";C4H11NO2;105.16;0;0.01 
60-51-5;O,O-dimethyl S-(2(methylamino)-2-oxoethyl) phosphorodithioate;Acaricide, active ingredient in insecticides.;C5H12NO3PS2;229.27;0;0.0000083 
105-67-9;2,4-dimethylphenol;"Intermediate in manufacture of of phenolic antioxidants;";C8H10O;122.18;colourless needles;0
35367-38-5;1-(p-chlorophenyl)-3-(2,6-difluorobenzoyl)urea;Insect growth regulator. ;C14H9ClF2N2O2 ;310.7;0;0
618-87-1;3,5-Dinitroaniline;0;C6H5N3O4;183.14;0;0
99-65-0;1,3-dinitrobenzene;0;C6H4N2O4;168.12;colourless yellowish needles;0
534-52-1;4,6-Dinitro-o-cresol;On dormant plants or on waste ground as an ovicide,;C7H6N2O5;198.15;Yellow prisms. ;0.000052 
25550-58-7;Dinitrophenol;0;C6H4N2O5;184.12;0;0
51-28-5;2,4-Dinitrophenol;0;C6H4N2O5;184.12;Yellow rhombic crystals or needles;0
602-01-7;2,3-Dinitrotoluene;0;C7H6N2O4;182.15;0;0
606-20-2;2,6-Dinitrotoluene;Manufacturing TNT, urethane polymers, flexible and rigid foams;C7H6N2O4;182.15;0;0
88-85-7;Dinoseb;Active ingredient in herbicides.;C10H12N2O5;240.24;reddish brown liquid or dark brown solid;1
117-84-0;Dioctyl phthalate;0;C24H38O4 ;390.62;0;0
6988-21-2;Dioxacarb;0;C11H13NO4;0;0;0
78-34-2;Dioxathion;insecticide;C12H26O6P2S4;456.56;brown liquid;0
101-84-8;diphenyl ether;"organic synthesis; perfumery, particularly soaps;";C12H10O;170.22;colourless liquid;0.02 
15263-52-2;cartap;Insecticide.;0;492.59;0;0
56-72-4;Coumaphos;"Insecticide; nematocide.";C14H16ClO5PS;362.78;Tan crystalline solid. ;0.0000001 
85-00-7;9,10-dihydro-8a,10-diazoniaphenanthrene dibromide;Active ingredient in herbicides.;C12H12N2.2Br;344.08;0;0.0000001 
298-04-4;Disulfoton;acaricide, insecticide;C8H19O2PS3;274.42;pale yellow liquid;1.8 
8065-48-3;Demeton *;"Systemic insecticide; acaricide.";0;516.72;Demeton-O is a colourless oil.;0.00026 
330-54-1;Diuron;herbicide;C9H10Cl2N2O;233.11;0;0.0000031 
1918-00-9;Dicamba;Herbicide.;0;221.04;White crystalline solids.;0
115-29-7;Endosulfan;"Active ingredient in insecticides; acaricide.";C9H6Cl6O3S;406.91;Brown crystals;0
72-20-8;Endrin;insecticide, rodenticide;C12H8Cl6O;380.9;0;0.0000002 
106-89-8;Epichlorohydrin;In the manufacturing of epoxy resins, surface active agents,;C3H5ClO;92.53;Colourless liquid.;12
2104-64-5;EPN;insecticide, acaricide;C14H14NO4PS;323.32;light yellow crystals;0.0003 
759-94-4;EPTC;Active ingredient in selective herbicides.;C9H19NOS;189.35;0;0.035 
563-12-2;Ethion;insecticide, acaricide;C9H22O4P2S4;384.49;0;0.0000015 
13194-48-4;Ethoprop;0;0;242.36;0;0
59-52-9;2,3-Dimercapto-1-propanol;0;C3H8OS2;0;0;0
0;1,3-dioxan;0;0;88.12;0;0
56-75-7;Chloromycetin;An antibiotic derived from Streptomyces venezuelae or by;C11H12O5N2Cl2 C11H12Cl2N2O5;323.13;0;0
118-75-2;Tetrachloro-p-benzoquinone;"Agricultural fungicide; dye intermediate; electrodes for pH";C6Cl4O2;245.9;Yellow leaflets.;0.0000051 
151-21-3;Sodium lauryl sulfate;"Wetting agent in textiles; detergent in toothpaste; food";C12H26O4S.Na;289.43;Small white and yellow crystals.;0
12672-29-6;PCB Aroclor 1248 *;"In the electrical industry in capacitors and transformers; in the";0;0;0;0
11097-69-1;PCB Aroclor 1254 *;"In the electrical industry in capacitors and transformers; in the";0;0;0;0
106-93-4;Ethylenebromide;"Scavenger for lead in gasoline; grain and fruit fumigant;";C2H4Br2;187.88;colourless liquid;11
2023600;Platinum;0;Pt;195.09;0;0
107-15-3;Ethylenediamine;"Medicine; neutralizing oils; corrosion inhibitor in antifreeze";C2H8N2;60.1;Colourless liquid. ;10.7 
3734-48-3;Chlordene;Intermediate in the manufacturing of chlordane.;C10H6Cl6;0;0;0
3687-70-5;Eulan;treatment of textiles;0;457.77;0;0
13171-21-6;2-chloro-N,N-diethyl-3-hydroxycrotonamide, dimethyl phosphate;insecticide, acaricide;C10H19ClNO5P;299.72;0;0
13356-08-6;Fenbutatin oxide;Active ingredient in acaricides.;0;1052.76;0;0
299-84-3;Fenchlorphos;insecticide;C8H8Cl3O3PS;321.54;0;0.0008 
122-14-5;Fenitrothion;"Active ingredient in insecticides; acaricide.";C9H12NO5PS;277.25;0;0.000054 
115-90-2;Fensulfothion;insecticide;C11H17O4PS2;308.37;yellowish oily liquid;0
55-38-9;Fenthion;"herbicide; insecticide";C10H15O3PS2;278.34;0;0.00003 
626-60-8;3-Chloropyridine;0;C5H4ClN;0;0;0
7440-22-4;Silver;Manufacture of silver nitrate, silver bromide, photographic;Ag;107.87;"Soft, ductile, lustrous, white solid; highest elctrical and";0
254642;O,O-dimethyl S-(1-carboethoxybenzyl) dithiophosphate;insecticide;C12H17O4PS2 ;320.38;0;0
51630-58-1;Fenvalerate;pesticide, insecticide (pyretroid);C25H22ClNO3;419.93;0;0
14484-64-1;ferbam;fungicide;0;416.51;0;0
944-22-9;Fonophos;insecticide;0;246.34;0;0
50-00-0;Formaldehyde;0;CH2O;30.03;Colourless gas.;10
98-01-1;Furfural;solvent refining of lubricating oils, solvent for nitro;C5H4O2;96.09;colourless to yellowish liquid;1
13411-16-0;furpyrinol;0;0;246.24;0;0
1071-83-6;Glyphosate;Active ingredient in herbicides.;C3H8NO5P;169.09;0;0.0000001 
76-44-8;Heptachlor;Insecticide;C10H5Cl7;373.3;0;0.0003 
118-74-1;Hexachlorobenzene;"Fungicide; manufacturing pentachlorophenol; wood preservative;";C6Cl6 ;284.76;white crystalline solid;0.0000109 
7440-28-0;Thallium;0;Tl;204.37;0;0
7440-31-5;Tin;0;Sn;118.69;0;0
7440-66-6;Zinc;0;Zn;65.37;0;0
87-68-3;Hexachlorobutadiene;Solvent for natural rubber, synthetic rubber and other;C4Cl6;260.74;Clear colourless liquid.;22
608-73-1;Hexachlorocyclohexane;0;C6H6Cl6;290.82;0;0
67-72-1;Hexachloroethane;"Manufacturing smoke candles and grenades; by-product of";C2Cl6;236.76;solid rhombic crystals;0.4 
3389-71-7;Hexachloronorbornadiene;intermediate in the synthesis of isodrin and endrin;C7H2Cl6;0;0;0
74-90-8;Hydrogen cyanide;0;CHN;27.03;colourless gas or liquid;620
2148878;Hydrogen sulfide;0;H2S;34.08;colourless gas;0
123-31-9;Hydroquinone;"Photographic developer and oxidation inhibitor; dye";C6H6O2;110.12;Hexagonal prisms. ;4
732-11-6;Imidan;Acaricide, insecticide.;C11H12NO4PS2;317.33;0;0
115-32-2;4,4'-dichloro-alpha-(trichloromethyl)benzhydrol;pesticide, acaricide;C14H9Cl5O ;370.48;0;0
103-65-1;n-propylbenzene;0;C9H12;0;0;0
75-86-5;2-Methyllactonitrile;"Insecticides; intermediate for organic synthesis especially";C4H7NO;85.12;Colourless liquid.;0.8 
98-86-2;Acetophenone;Manufacturing source: organic chemical industry: coal;C8H8O;120.1;Colourless liquid.;1
143-50-0;Kepone;Pesticide (ants, cockroaches). ;C10Cl10O ;490.6;Highly stable odourless colourless solid.;0.0000003 
301-04-2;Lead acetate;Dyeing of textiles, waterproofing, varnishes, lead driers,;Pb(C2H3O2)2 . 3H2O C2H4O2. 1/2Pb;325.29;White crystals of flakes (commercial grades are frequently;0
569-64-2;Malachite green;0;C23H25N2.Cl;364.95;0;0
121-75-5;Malathion;Active ingredient in insecticides, acaricide.;C10H19O6PS2;330.38;0;0.00004 
2234562;Mancozeb;Active ingredient in fungicides.;C4H6MnN2S4.C4H6N2S4Zn;541.03;0;0.001333 
12427-38-2;Maneb;Active ingredient in fungicides.;C4H6MnN2S4;266.31;Yellow, odourless solid.;0
94-74-6;MCPA;Active ingredient in herbicides.;C9H9ClO3;200.63;0;0
2032-65-7;Methiocarb;"Insecticide, acaricide; active ingredient in molluscicides.";C11H15NO2S;225.33;0;0
72-43-5;Methoxychlor;insecticide;C16H15Cl3O2;345.66;0;0
55-55-0;4-Methylaminophenolsulfate;Reducing agent used primarily in the development of silver;C7H9NO. 1/2H2O4S;219.23;0;0
74-93-1;Methylmercaptan;0;CH4S;48.11;colourless gas;0
22967-92-6;Methylmercury;0;CH3Hg;215.63;0;0
298-00-0;Methylparathion;Insecticide.;C8H10NO5PS;263.22;0;0
7786-34-7;Mevinphos;Active ingredient in insecticides, acaricide.;C7H13O6P;224.17;0;0
315-18-4;4-(dimethylamine)-3,5-xylyl N-methylcarbamate;"Herbicide, insecticide; pesticide for control of snails and";C12H18N2O2 ;222.32;0;0.1 
2385-85-5;Mirex;"Insecticide; flame-retardant coatings.";C10Cl12;546;Snow-white, free-flowing crystalline solid.;0
2212-67-1;Molinate;Herbicide.;C9H17NOS;187.33;0;0
144-49-0;Monofluoroacetic acid;0;C2H3FO2;78.05;0;0
1746-81-2;monolinuron;herbicide;0;214.67;0;0
142-59-6;Nabam;fungicide;C4H8N2S4.2Na;256.34;0;0
300-76-5;Naled;insecticide;C4H7Br2Cl2O4P;380.8;0;0.002 
91-20-3;Naphthalene;"Moth ball manufacturing; manufacturing of alpha- and beta-";C10H8;128.18;White flakes or powder;1
90-15-3;1-naphthol;dyes, organic synthesis, synthetic perfumes;C10H8O;144.18;yellow crystals;1
135-19-3;2-Naphthol;"Dyes; pigments; anti-oxidants for rubber, fats, oils; synthesis";C10H8O;144.18;colourless leaflets;5
7786-81-4;Nickel sulfate;0;H2O4S.Ni;154.77;0;0
1594-56-5;nitrite-ion;0;0;225.19;0;0
100-01-6;4-nitroaniline;intermediate for dyes and antioxidants, gasoline gum inhibitors,;C6H6N2O2;138.14;yellow monoclinic needles;0.0015 
98-95-3;Nitrobenzene;"Manufacturing aniline and dyestuffs; solvent recovery plants;";C6H5NO2;123.12;Yellow liquid.;0.15 
100-02-7;4-nitrophenol;"Intermediate in organic synthesis; production of parathion;";C6H5NO3;139.12;colourless to yellowish crystals;2.2 
112-80-1;Oleic acid;0;C18H34O2 ;282.52;colourless needles;1
301-12-2;Oxydemeton-methyl;Active ingredient in insecticides.;C6H15O4PS2;230.3;0;0
10028-15-6;Ozone;0;O3;48;0;0
1910-42-5;Paraquat;herbicide;C12H14N2.2Cl;257.18;0;0
56-38-2;O,O-Diethyl-O-(4-nitrophenyl) phosphorothioate;Active ingredient in insecticides, acaricide, avicide.;C10H14NO5PS;291.28;0;0.003 
608-93-5;Pentachlorobenzene;Intermediate.;C6HCl5;250.32;0;0
76-01-7;Pentachloroethane;Solvent for oil and grease in metal cleaning.;C2HCl5;0;0;3.4 
87-86-5;Pentachlorophenol;"Insecticide, algicide, herbicide, fungicide, wood impregnant;";C6HCl5O;266.32;White monoclinic, crystalline solid, technical grade dark grey;0.00011 
52645-53-1;Permethrin;Active ingredient in insecticides.;C21H20Cl2O3;391.31;0;0.0000001 
2278-22-0;Peroxyacetylnitrate;0;C2H3NO5;121.06;0;0
108-95-2;Phenol;Solvent. ;C6H6O;94.12;Colourless to brown-black.;0.2 
108-45-2;1,3-diaminobenzene;0;C6H8N2;108.16;colourless needles;0
62-38-4;Phenylmercuryacetate;Slimicide used by the paper and pulp industry, fungicide.;C8H8HgO2;336.75;0;0.000009 
298-02-2;Phorate;0;C7H17O2PS3;260.39;0;0.00084 
127-06-0;Acetoxime;"Organic synthesis (intermediate); solvent.";(CH3)2CNOH C3H7NO;73.09;0;0
74-86-2;Acetylene;Manmade sources:;C2H2;26.04;Colourless gas.;0
6607;Picloram;herbicide;0;241.46;0;0.0000006 
510-39-4;Pimaric acid;resins;C24H32O5;0;0;0
7778-50-9;Potassium dichromate;0;Cr2H2O7.2K;294.2;0;0
1918-16-7;Propachlor;Active ingredient in herbicides.;0;211.71;0;0
709-98-8;Propanil;herbicide;C9H9Cl2NO;218.09;0;0.00009 
114-26-1;2-isopropoxyphenyl methylcarbamate;Active ingredient in insecticides.;C11H15NO3 ;209.27;White to tan crystalline solid.;0
8003-34-7;Pyrethrin;Active ingredient in insecticides.;0;0;0;0
13593-03-8;quinalphos;0;0;298.32;0;0
91-22-5;Quinoline;0;C9H7N;129.17;colourless liquid;1
83-79-4;Rotenone;poison for fishes, insecticide, acaricide, active ingredient:;C23H22O6;394.45;0;0
90-02-8;Salicylaldehyde;analytical chemistry, perfumery, synthesis of coumarins,;C7H6O2;122.1;colourless oily liquid or dark red oil, burning taste;1
7761-88-8;Silver nitrate;Photographic film, catalyst for ethylene oxide, indelible inks,;AgNO3 Ag.HNO3;169.88;Colorless, transparent, tabular, rhombic crystals becoming gray;0
122-34-9;Simazine;Active ingredient in herbicides.;C7H12ClN5;201.69;Solid.;0.0021 
7681-52-9;Sodium hypochlorite;0;ClHO.Na;75.45;0;0
16721-80-5;Sodium sulfide;0;HNaS;56.06;0;0
100-42-5;Styrene;"Manufacturing of polystyrene, synthetic rubber, ABS plastics;";C8H8;104.16;Colourless to yellowish, oily liquid, viscous liquid.;5
3689-24-5;Sulfotep;"Active ingredient in insecticides; acaricide.";C8H20O5P2S2;322.34;0;0.00017 
93-76-5;2,4,5-T;herbicide, to control woody plants;C8H5Cl3O3;255.48;0;0
5915-41-3;Terbutylazine;Active ingredient in herbicides.;C9H16ClN5;229.75;White powder.;0.0000011 
886-50-0;Terbutryne;Active ingredient in herbicides.;C10H19N5S;241.6;0;0
634-66-2;1,2,3,4-Tetrachlorobenzene;Component of dielectric fluids, synthesis. ;C6H2Cl4;215.88;needles;0
634-90-2;1,2,3,5-Tetrachlorobenzene;Byproduct.;C6H2Cl4;215.88;0;0
95-94-3;1,2,4,5-tetrachlorobenzene;Manufacture of 2,4,5-trichlorophenol and;C6H2Cl4;215.88;Needles;0.1 
1198-55-6;tetrachlorocatechol;0;C6H2O2Cl4;247.88;0;0
79-34-5;1,1,2,2-Tetrachloroethane;"Manufacturing of 1,1-dichloroethylene; solvent for chlorinated";C2H2Cl4;167.84;Colourless liquid;5
127-18-4;Tetrachloroethylene;"Dry clearing solvent; metal degreasing; solvent for fats,";C2Cl4;165.82;Colourless liquid.;14
2539-17-5;Tetrachloroguaiacol;chlorinated guaiacols are formed by the reaction of;C7H4O2Cl4;261.91;0;0
4901-51-3;2,3,4,5-Tetrachlorophenol;0;C6H2Cl4O;231.88;0;0
58-90-2;2,3,4,6-Tetrachlorophenol;fungicide;C6H2Cl4O;231.88;needles;60
935-95-5;2,3,5,6-tetrachlorophenol;0;0;231.88;0;0
78-00-2;Tetraethyl lead;Anti-knock compounds for gasoline. ;C8H20Pb;323.47;Colourless oily liquid.;0.47 
107-49-3;Tetraethylpyrophosphate;Insecticide, rodenticide.;C8H20O7P2;290.22;White to amber liquid.;0.000155 
0;thallium metoxylate;0;0;0;0;0
